   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  138851    9.3903  5.9075e+03  3.0550e-12  -4.0514e+05   7.9061e+00   1.41439e-01  -1.2316e-01  -5.1040e-01   1.8145e+09   1.8236e+09   1.4564e-01    0.000       4119       6065       1782       1719
  138852    8.5945  5.9264e+03  2.9954e-12  -4.0416e+05   7.8510e+00   9.88435e-02  -1.0461e-01  -4.1400e-01   1.8495e+09   1.8572e+09   1.4845e-01    0.000       4095       6423       1806       1739
  138853    7.5338  5.9416e+03  2.9418e-12  -4.0439e+05   7.7886e+00  -6.72320e-03  -9.5133e-02  -3.4829e-01   1.8631e+09   1.8701e+09   1.5027e-01    0.000       4123       6876       1852       1773
  138854    5.6291  5.9527e+03  2.8969e-12  -4.0646e+05   7.7547e+00  -5.60823e-02  -8.0553e-02  -2.6298e-01   1.8748e+09   1.8807e+09   1.5127e-01    0.000       4232       7616       1904       1805
  138859    0.9173  1.8616e+05  2.6662e-12  -6.0253e+05   1.9113e+02   9.11421e+01   2.6808e+07   7.2598e+01   2.1752e+16   1.9785e+16   1.1103e+06    1.000   1.03e+05  9.856e+05  4.792e+04  2.131e+04
  138864    0.2199  8.8816e+06  2.3230e-12  -2.1576e+06   5.1782e+03   2.49998e+03   2.9676e+13   1.9625e+03   2.0922e+22   1.8745e+22   9.7180e+12    1.000  5.914e+06  3.012e+07  4.463e+06  2.616e+06
  138869    0.1845  1.3962e+07  2.0567e-12  -6.0497e+06   5.5852e+03  -1.98129e+02   9.0059e+12   1.5811e+02   3.0424e+22   2.9764e+22   7.5194e+13    0.000  1.631e+07    2.8e+07  1.281e+07  1.304e+07
  138874    0.1948  1.3219e+07  1.7359e-12  -9.2103e+06   4.5400e+03  -1.57984e+02   8.9558e+12   2.0384e+02  -4.2382e+22  -4.3039e+22   4.6505e+13    0.000  1.589e+07   2.36e+07  1.323e+07  1.302e+07
  138879    0.2084  1.1725e+07  1.4145e-12  -1.1906e+07   3.1522e+03  -1.93936e+02   1.1779e+12   4.0255e+01  -3.0521e+22  -3.0607e+22   2.2563e+13    0.000  1.376e+07  1.474e+07  1.175e+07  1.179e+07
  138884    0.1365  9.9521e+06  1.2026e-12  -1.4010e+07   2.2694e+03  -1.40510e+02  -3.0068e+11  -1.7433e+01  -1.2037e+22  -1.2015e+22   9.7016e+12    0.000  1.109e+07  1.125e+07  9.988e+06  1.014e+07
  138889    0.1162  8.4371e+06  1.0990e-12  -1.4051e+07   1.7745e+03  -8.02469e+01  -1.3917e+11  -1.4387e+01  -8.5334e+19  -7.5125e+19   4.2661e+12    0.000  8.563e+06  8.801e+06  8.456e+06  8.559e+06
  138894    0.1066  7.3386e+06  1.0518e-12  -1.3726e+07   1.4873e+03  -5.10075e+01  -9.7459e+10  -1.6390e+01   2.6957e+21   2.7029e+21   2.2064e+12    0.000  6.883e+06  7.221e+06  7.269e+06  7.302e+06
  138899    0.1019  6.4087e+06  1.0325e-12  -1.2967e+07   1.2853e+03  -3.63640e+01  -6.9291e+10  -1.7961e+01   2.8611e+21   2.8661e+21   1.2383e+12    0.000  5.825e+06  6.108e+06  6.309e+06  6.329e+06
  138904    0.1004  5.7042e+06  1.0664e-12  -1.0546e+07   1.1831e+03  -1.77543e+01  -7.4611e+10  -2.8559e+01   2.4345e+21   2.4400e+21   7.7648e+11    0.000  5.102e+06  5.422e+06  5.519e+06  5.543e+06
  138909    0.1013  5.2600e+06  1.2517e-12  -2.4735e+06   1.2729e+03   3.45419e+01  -1.1195e+11  -5.8369e+01   1.9254e+21   1.9336e+21   6.1794e+11    0.000  4.548e+06  4.914e+06  4.878e+06  4.903e+06
