=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
  51  2.0000e+02  3.0503e-10  -8.4847e+05   5.20384e-02  -1.68584e+01
  52  2.0000e+02  1.7325e-10  -8.5110e+05   3.03547e-02  -1.20168e+01
  53  2.0000e+02  8.5111e-11  -1.0511e+06   1.64708e-02   1.97237e+00
  54  2.0000e+02  2.2482e-11  -1.7826e+06   4.66363e-03  -5.01611e-01
  55  2.0000e+02  9.2661e-12  -1.9989e+06   1.95825e-03  -7.86922e+00
  56  2.0000e+02  1.1992e-11  -8.5438e+05   2.44939e-03  -6.59462e-02
  57  6.1166e+02  1.0702e-11  -6.9561e+05  -1.76817e-03   7.06017e-01
  58  1.5544e+03  7.4001e-12  -6.6210e+05  -8.22525e-03   5.10904e-01
=== cycle 138780  time 1742832.294720  dt 8.40009
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.3652e+03  7.0038e-10  -9.3934e+05  -1.37952e-01  -4.77023e+01
  49  1.6476e+03  5.5004e-10  -8.9365e+05   6.99093e-02  -1.86185e+01
  50  2.0000e+02  4.1905e-10  -8.8612e+05   1.05064e-01  -1.89479e+01
  51  2.0000e+02  2.9782e-10  -8.4974e+05   5.16024e-02  -1.64980e+01
  52  2.0000e+02  1.6775e-10  -8.5894e+05   3.00339e-02  -1.02086e+01
  53  2.0000e+02  7.8792e-11  -1.1642e+06   1.57060e-02   1.38916e+01
  54  2.0000e+02  1.7734e-11  -1.9942e+06   3.76825e-03  -5.88325e+00
  55  2.0000e+02  8.6109e-12  -1.9430e+06   1.85139e-03  -1.09648e+01
  56  2.0000e+02  1.2428e-11  -8.1510e+05   1.67047e-03   2.20302e-01
  57  9.4408e+02  1.1040e-11  -6.6934e+05  -3.50168e-03   8.54804e-01
  58  1.6130e+03  7.5616e-12  -6.4144e+05  -9.02910e-03   6.12495e-01
=== cycle 138781  time 1742840.694813  dt 7.24144
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.3774e+03  6.8409e-10  -9.3313e+05  -1.07488e-01  -4.09448e+01
  49  1.5787e+03  5.4306e-10  -8.8591e+05   6.91829e-02  -3.34253e+01
  50  4.5204e+02  4.1126e-10  -8.7894e+05   1.71680e-01  -1.61346e+01
  51  2.0000e+02  2.9089e-10  -8.4782e+05   4.30432e-02  -1.58136e+01
  52  3.6896e+02  1.6298e-10  -8.6416e+05   3.84463e-02  -5.19750e+00
  53  4.8818e+02  7.1336e-11  -1.2971e+06   3.65773e-02   1.46586e+01
  54  2.0000e+02  1.3954e-11  -2.3296e+06   2.92585e-03   8.65533e+00
  55  2.0000e+02  8.5300e-12  -1.7248e+06   1.82719e-03  -1.26931e+01
  56  2.0000e+02  1.2920e-11  -7.6952e+05  -9.75117e-04   4.90636e-01
  57  1.3080e+03  1.1422e-11  -6.4519e+05  -1.02777e-02   1.07433e+00
  58  1.6547e+03  7.7504e-12  -6.2086e+05  -9.69085e-03   7.11725e-01
=== cycle 138782  time 1742847.936253  dt 5.61262
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5440e+03  6.7173e-10  -9.2583e+05  -7.67850e-03  -3.18564e+01
  49  1.2913e+03  5.3706e-10  -8.8094e+05   9.20036e-02  -2.99105e+01
  50  5.3683e+02  4.0477e-10  -8.7256e+05   1.35438e-01  -1.41251e+01
  51  2.0000e+02  2.8513e-10  -8.4683e+05   4.68293e-02  -1.31545e+01
  52  5.9488e+02  1.5880e-10  -8.7139e+05   1.27662e-02  -3.23893e+00
  53  9.5775e+02  6.4199e-11  -1.4487e+06   7.00244e-03   2.31860e+01
  54  2.0000e+02  1.0221e-11  -3.0353e+06   2.28307e-03   3.44412e+01
  55  2.0000e+02  8.8207e-12  -1.4725e+06   2.13969e-03  -8.87284e+00
  56  3.4334e+02  1.3426e-11  -7.3363e+05  -5.16801e-03   8.13585e-01
  57  1.4755e+03  1.1779e-11  -6.2396e+05  -1.01409e-02   1.02339e+00
  58  1.6825e+03  7.9366e-12  -6.0033e+05  -8.39929e-03   6.69503e-01
=== cycle 138783  time 1742853.548873  dt 4.38864
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.5565e+03  6.6359e-10  -9.2022e+05   5.61319e-02  -2.26967e+01
  49  1.1436e+03  5.3214e-10  -8.7744e+05   6.09308e-02  -2.22466e+01
  50  5.0012e+02  4.0002e-10  -8.6641e+05   1.54663e-01  -1.20410e+01
  51  3.0778e+02  2.8072e-10  -8.4894e+05   5.47548e-02  -8.52190e+00
  52  8.1792e+02  1.5526e-10  -8.7914e+05  -2.35504e-02  -1.86808e+00
  53  1.7622e+03  5.7538e-11  -1.6270e+06  -3.31447e-03   3.38588e+01
  54  2.0000e+02  7.6260e-12  -3.9103e+06   2.08974e-03   4.64473e+01
  55  2.0000e+02  9.2267e-12  -1.3108e+06   2.44673e-03  -3.78569e+00
  56  5.7529e+02  1.3863e-11  -7.0754e+05  -6.15053e-04   8.77470e-01
  57  1.5411e+03  1.2075e-11  -6.0675e+05  -7.36450e-03   8.53847e-01
  58  1.7008e+03  8.0964e-12  -5.8362e+05  -5.96322e-03   5.60591e-01
