
--- exp_g3 k=16 j=17 : T [K] vs i (columns i=48..58) ---
  138785   3.502 -9.13e+05 -8.73e+05 -8.59e+05 -8.53e+05 -8.98e+05 -2.03e+06 -4.93e+06 -1.14e+06 -6.71e+05 -5.81e+05 -5.58e+05
  138786   3.323 -9.10e+05 -8.71e+05 -8.56e+05 -8.55e+05 -9.12e+05 -2.23e+06 -5.20e+06 -1.08e+06 -6.55e+05 -5.70e+05 -5.47e+05
  138787   3.211 -9.08e+05 -8.69e+05 -8.54e+05 -8.57e+05 -9.29e+05 -2.45e+06 -5.38e+06 -1.03e+06 -6.40e+05 -5.59e+05 -5.36e+05
  138788   3.146 -9.05e+05 -8.68e+05 -8.52e+05 -8.59e+05 -9.51e+05 -2.69e+06 -5.49e+06 -9.93e+05 -6.26e+05 -5.48e+05 -5.26e+05
  138789   3.478 -9.03e+05 -8.66e+05 -8.50e+05 -8.61e+05 -9.77e+05 -2.96e+06 -4.81e+06 -9.56e+05 -6.12e+05 -5.38e+05 -5.16e+05
  138790   4.359 -9.01e+05 -8.65e+05 -8.49e+05 -8.64e+05 -1.04e+06 -3.24e+06 -3.94e+06 -9.18e+05 -5.97e+05 -5.26e+05 -5.04e+05
  138791   4.675 -8.97e+05 -8.64e+05 -8.49e+05 -8.67e+05 -1.16e+06 -3.61e+06 -3.15e+06 -8.72e+05 -5.81e+05 -5.11e+05 -4.90e+05
  138792   3.697 -8.94e+05 -8.62e+05 -8.51e+05 -8.71e+05 -1.29e+06 -4.59e+06 -2.47e+06 -8.28e+05 -5.64e+05 -4.94e+05 -4.74e+05
  138793   2.809 -8.92e+05 -8.62e+05 -8.52e+05 -8.80e+05 -1.39e+06 -6.07e+06 -2.00e+06 -7.97e+05 -5.51e+05 -4.82e+05 -4.62e+05
  138794   2.158 -8.91e+05 -8.61e+05 -8.53e+05 -8.91e+05 -1.48e+06 -7.93e+06 -1.76e+06 -7.76e+05 -5.40e+05 -4.72e+05 -4.53e+05
  138795   1.653 -8.89e+05 -8.61e+05 -8.54e+05 -9.02e+05 -1.57e+06 -1.04e+07 -1.63e+06 -7.60e+05 -5.32e+05 -4.64e+05 -4.45e+05
  138796   1.246 -8.88e+05 -8.61e+05 -8.54e+05 -9.11e+05 -1.66e+06 -1.38e+07 -1.55e+06 -7.50e+05 -5.26e+05 -4.58e+05 -4.40e+05
  138797   0.949 -8.87e+05 -8.61e+05 -8.55e+05 -9.21e+05 -1.75e+06 -1.82e+07 -1.50e+06 -7.42e+05 -5.21e+05 -4.54e+05 -4.36e+05
  138798   0.745 -8.85e+05 -8.61e+05 -8.55e+05 -9.33e+05 -1.83e+06 -2.32e+07 -1.47e+06 -7.39e+05 -5.15e+05 -4.50e+05 -4.32e+05
  138799   0.607 -8.84e+05 -8.61e+05 -8.55e+05 -9.45e+05 -1.91e+06 -2.85e+07 -1.45e+06 -7.39e+05 -5.10e+05 -4.46e+05 -4.29e+05
  138800   0.526 -8.83e+05 -8.61e+05 -8.56e+05 -9.58e+05 -1.98e+06 -3.29e+07 -1.43e+06 -7.41e+05 -5.07e+05 -4.40e+05 -4.25e+05

--- exp_g3 k=16 j=17 : rt_de vs i (columns i=48..58) ---
   cycle      dt        48        49        50        51        52        53        54        55        56        57        58
  138770  11.167  1.97e-01  1.92e-01  1.12e-01  7.59e-02  4.86e-02  2.96e-02  1.55e-02  6.24e-03  3.08e-03  2.38e-03 -2.30e-03
  138771  11.156  1.54e-01  3.24e-01  1.07e-01  7.23e-02  4.56e-02  2.75e-02  1.43e-02  5.64e-03  2.97e-03  2.34e-03 -2.43e-03
  138772  11.154  1.26e-01  7.10e-02  1.16e-01  7.53e-02  4.67e-02  2.77e-02  1.40e-02  5.07e-03  3.06e-03  2.43e-03 -2.46e-03
  138773  11.151  9.32e-02  7.57e-02  1.10e-01  7.02e-02  4.33e-02  2.55e-02  1.27e-02  4.39e-03  2.92e-03  2.38e-03 -2.63e-03
  138774  11.133  5.72e-02  7.64e-02  1.11e-01  6.75e-02  4.11e-02  2.42e-02  1.17e-02  3.88e-03  2.83e-03  2.39e-03 -2.78e-03
  138775  11.060  1.11e-02  7.79e-02  1.10e-01  6.43e-02  3.90e-02  2.31e-02  1.02e-02  3.49e-03  2.79e-03  2.46e-03 -5.03e-03
  138776  10.289 -3.64e-02  7.75e-02  1.10e-01  6.19e-02  3.69e-02  2.14e-02  8.51e-03  2.96e-03  2.63e-03  2.11e-03 -1.91e-03
  138777   9.227 -9.22e-02  5.60e-02  1.08e-01  5.77e-02  3.43e-02  2.00e-02  7.17e-03  2.61e-03  2.63e-03 -3.39e-04 -6.16e-03
  138778   8.629 -1.24e-01  5.08e-02  1.02e-01  5.28e-02  3.16e-02  1.85e-02  5.92e-03  2.31e-03  2.68e-03 -6.10e-03 -7.86e-03
  138779   8.515 -1.07e-01  7.03e-02  1.04e-01  5.20e-02  3.04e-02  1.65e-02  4.66e-03  1.96e-03  2.45e-03 -1.77e-03 -8.23e-03
  138780   8.400 -1.38e-01  6.99e-02  1.05e-01  5.16e-02  3.00e-02  1.57e-02  3.77e-03  1.85e-03  1.67e-03 -3.50e-03 -9.03e-03
  138781   7.241 -1.07e-01  6.92e-02  1.72e-01  4.30e-02  3.84e-02  3.66e-02  2.93e-03  1.83e-03 -9.75e-04 -1.03e-02 -9.69e-03
  138782   5.613 -7.68e-03  9.20e-02  1.35e-01  4.68e-02  1.28e-02  7.00e-03  2.28e-03  2.14e-03 -5.17e-03 -1.01e-02 -8.40e-03
  138783   4.389  5.61e-02  6.09e-02  1.55e-01  5.48e-02 -2.36e-02 -3.31e-03  2.09e-03  2.45e-03 -6.15e-04 -7.36e-03 -5.96e-03
  138784   3.803  7.12e-02  4.80e-02  9.86e-02  4.46e-02 -2.81e-02 -4.96e-03  1.48e-03  2.31e-03 -3.47e-04 -5.71e-03 -4.42e-03
  138785   3.502  8.11e-02  4.19e-02  7.84e-02  2.82e-02 -5.91e-02 -4.62e-03  1.29e-03  2.72e-03 -1.80e-05 -4.38e-03 -3.35e-03
  138786   3.323  8.91e-02  3.79e-02  6.72e-02  9.71e-03 -7.03e-02 -2.47e-03  1.06e-03  2.78e-03 -1.28e-04 -3.80e-03 -2.86e-03
  138787   3.211  9.45e-02  3.48e-02  5.16e-02  1.27e-03 -6.04e-02  6.94e-04  8.57e-04  2.58e-03 -7.95e-04 -3.68e-03 -2.69e-03
  138788   3.146  9.30e-02  3.28e-02  4.13e-02 -1.92e-02  9.25e-03  1.58e-02  4.45e-04  9.11e-04 -3.33e-03 -5.04e-03 -3.41e-03
  138789   3.478  9.65e-02  3.25e-02  3.29e-02 -1.58e-02  6.72e-03  5.88e-03  3.94e-04  7.60e-04 -3.48e-03 -4.91e-03 -3.27e-03
  138790   4.359  1.12e-01  4.55e-02  2.96e-02 -1.81e-02  3.66e-04  5.05e-03  6.06e-04  5.95e-04 -3.76e-03 -5.48e-03 -3.60e-03
  138791   4.675  1.43e-01  5.80e-02  3.59e-02 -4.40e-02 -2.12e-02  4.45e-03  1.09e-03  1.10e-03 -4.36e-03 -6.54e-03 -4.23e-03
  138792   3.697  1.67e-01  7.78e-02  2.75e-02 -1.97e-01 -2.14e-02  3.40e-03  1.84e-03  3.07e-03 -2.79e-03 -5.51e-03 -3.60e-03
  138793   2.809  1.53e+00  1.19e-01  7.91e-02 -2.35e+01 -3.01e+00  5.84e-03  5.27e-03  2.96e-02  1.11e+00  6.99e-01  3.42e-01
  138794   2.158  3.35e+00  9.75e-02  8.31e-02 -1.75e+01 -5.16e+00  4.17e-03  5.40e-03  6.09e-03  2.16e+00  8.73e-01  3.67e-01
  138795   1.653  5.86e+00  7.92e-02  7.07e-02 -1.82e+01 -5.78e+00  2.62e-03  4.99e-03  7.22e-03  3.04e+00  8.83e-01  3.50e-01
  138796   1.246  9.39e+00  6.69e-02  6.25e-02 -1.84e+01 -7.07e+00  1.55e-03  4.49e-03  2.20e-02  4.17e+00  9.08e-01  3.49e-01
  138797   0.949  1.38e+01  5.75e-02  6.01e-02 -1.95e+01 -1.16e+01  9.80e-04  4.03e-03  8.76e-01  6.05e+00  9.94e-01  4.09e-01
  138798   0.745  9.34e+01  7.72e-02  1.47e-01 -2.01e+01 -2.24e+02  1.16e-03  6.50e-03  2.12e+00  2.07e+01  6.57e+00  4.00e+00
  138799   0.607  6.23e+01  5.13e-02  1.01e-01 -1.91e+01 -5.56e+01  5.72e-04  3.96e-03  4.55e+00  6.23e+00  9.52e+00  1.27e+00
  138800   0.526  2.74e+02  1.49e-01  9.77e-01 -1.91e+01 -6.26e+02  1.95e-03  1.77e-02  9.48e+00  4.71e+01  2.46e+01  1.03e+01

--- exp_g3 k=16 j=17 : delta_u vs i (columns i=48..58) ---
   cycle      dt        48        49        50        51        52        53        54        55        56        57        58
  138770  11.167 -9.41e+01 -5.92e+01 -4.27e+01 -3.11e+01 -2.63e+01 -1.70e+01 -8.30e+00 -3.28e+00  1.49e-01  6.62e-02 -1.72e-01
  138771  11.156 -9.78e+01 -4.51e+01 -4.19e+01 -2.85e+01 -2.54e+01 -1.68e+01 -7.43e+00 -3.41e+00  4.18e-01  1.57e-01 -1.73e-01
  138772  11.154 -9.20e+01 -4.60e+01 -3.82e+01 -2.68e+01 -2.36e+01 -1.54e+01 -5.79e+00 -2.80e+00  2.10e-01  4.24e-02 -1.32e-01
  138773  11.151 -8.81e+01 -4.40e+01 -3.53e+01 -2.57e+01 -2.26e+01 -1.35e+01 -4.24e+00 -9.98e-01 -2.61e-01 -8.49e-05 -1.10e-01
  138774  11.133 -8.00e+01 -4.27e+01 -3.30e+01 -2.51e+01 -2.19e+01 -1.12e+01 -4.29e+00  7.25e-01 -5.46e-01  5.93e-02 -7.45e-02
  138775  11.060 -7.32e+01 -4.20e+01 -3.09e+01 -2.45e+01 -2.05e+01 -9.24e+00 -3.71e+00  2.66e+00 -1.91e+00  2.12e-01  6.05e-02
  138776  10.289 -7.00e+01 -3.89e+01 -2.90e+01 -2.37e+01 -1.90e+01 -6.80e+00 -1.25e+00  3.29e+00 -2.12e+00  3.12e-01  2.53e-01
  138777   9.227 -6.38e+01 -3.24e+01 -2.57e+01 -2.15e+01 -1.64e+01 -3.50e+00  6.34e-01  5.08e+00 -1.22e+00  4.85e-01  3.73e-01
  138778   8.629 -5.65e+01 -2.56e+01 -2.22e+01 -1.87e+01 -1.34e+01 -2.65e+00  3.81e+00 -9.26e-01 -4.39e-01  5.35e-01  4.41e-01
  138779   8.515 -5.15e+01 -2.09e+01 -2.00e+01 -1.69e+01 -1.20e+01  1.97e+00 -5.02e-01 -7.87e+00 -6.59e-02  7.06e-01  5.11e-01
  138780   8.400 -4.77e+01 -1.86e+01 -1.89e+01 -1.65e+01 -1.02e+01  1.39e+01 -5.88e+00 -1.10e+01  2.20e-01  8.55e-01  6.12e-01
  138781   7.241 -4.09e+01 -3.34e+01 -1.61e+01 -1.58e+01 -5.20e+00  1.47e+01  8.66e+00 -1.27e+01  4.91e-01  1.07e+00  7.12e-01
